County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Moffat County, Colorado,466,4769,233653261,942,48993,1,1,CO
Montezuma County, Colorado,931,9235,338794928,705,36686,1,1,CO
Montrose County, Colorado,1396,15328,605837248,760,39525,1,1,CO
Morgan County, Colorado,818,12527,568607590,873,45389,1,1,CO
Otero County, Colorado,512,6120,218054237,685,35633,1,1,CO
Ouray County, Colorado,349,1881,69039836,706,36699,1,1,CO
Park County, Colorado,559,2520,98679521,753,39165,1,1,CO
Phillips County, Colorado,166,1673,63008103,724,37669,1,1,CO
Pitkin County, Colorado,1839,16532,871490041,1014,52715,1,1,CO
Prowers County, Colorado,395,4465,154059227,664,34504,1,1,CO
Pueblo County, Colorado,3480,61322,2648517909,831,43190,1,1,CO
Rio Blanco County, Colorado,261,2774,142035227,985,51196,1,1,CO
Rio Grande County, Colorado,431,4081,158730214,748,38891,1,1,CO
Routt County, Colorado,1817,15407,671419743,838,43578,1,1,CO
Saguache County, Colorado,204,1606,51573339,618,32116,1,1,CO
San Juan County, Colorado,81,325,8660807,513,26683,1,1,CO
San Miguel County, Colorado,712,5460,225674987,795,41329,1,1,CO
Sedgwick County, Colorado,90,780,27959691,689,35838,1,1,CO
Summit County, Colorado,2320,21726,885377679,784,40753,1,1,CO
Teller County, Colorado,913,7398,292143010,759,39488,1,1,CO
Washington County, Colorado,156,1226,51625699,810,42121,1,1,CO
Weld County, Colorado,7582,110152,5710949583,997,51846,1,1,CO
Yuma County, Colorado,428,4098,161362098,757,39373,1,1,CO
Unknown Or Undefined, Colorado,3433,20801,1836965113,1698,88311,1,1,CO
Fairfield County, Connecticut,35960,420682,36268887578,1658,86214,1,1,CT
Hartford County, Connecticut,28516,510843,34684360259,1306,67896,1,1,CT
Litchfield County, Connecticut,6115,61481,2914904737,912,47412,1,1,CT
Middlesex County, Connecticut,5331,68843,3833135935,1071,55679,1,1,CT
New Haven County, Connecticut,24658,366723,20825598493,1092,56788,1,1,CT
New London County, Connecticut,7674,123887,6882318367,1068,55553,1,1,CT
Tolland County, Connecticut,3277,41090,2057171503,963,50065,1,1,CT
Windham County, Connecticut,2925,38590,1717278763,856,44501,1,1,CT
Unknown Or Undefined, Connecticut,6274,41723,4205126285,1938,100786,1,1,CT
Kent County, Delaware,4223,66751,2924849343,843,43817,1,1,DE
New Castle County, Delaware,20469,290515,18569777305,1229,63920,1,1,DE
Sussex County, Delaware,7138,81688,3308430091,779,40501,1,1,DE
Unknown Or Undefined, Delaware,1242,8152,613127080,1446,75210,1,1,DE
District of Columbia,,39769,771314,73997532352,1845,95937,1,1,#N/A
Unknown Or Undef., District of Columbia,5,8,607122,1507,78338,1,1,#N/A
Alachua County, Florida,7228,131989,6316235271,920,47854,1,1,FL
Baker County, Florida,427,7617,258062573,652,33881,1,1,FL
Bay County, Florida,5657,77777,3162798510,782,40665,1,1,FL
Bradford County, Florida,541,6701,249607444,716,37247,1,1,FL
Brevard County, Florida,16006,215352,10689187893,955,49636,1,1,FL
Broward County, Florida,69651,811913,42958777945,1018,52911,1,1,FL
Calhoun County, Florida,239,2864,93493922,628,32645,1,1,FL
Charlotte County, Florida,4675,47560,1850483222,748,38909,1,1,FL
Citrus County, Florida,3150,32460,1210481623,717,37291,1,1,FL
Clay County, Florida,4490,52154,2058090442,759,39462,1,1,FL
Collier County, Florida,14310,147499,7190964236,938,48753,1,1,FL
Columbia County, Florida,1577,24225,925628805,735,38209,1,1,FL
DeSoto County, Florida,648,8942,326512580,702,36515,1,1,FL
Dixie County, Florida,236,2637,92891937,677,35226,1,1,FL
Duval County, Florida,29662,514326,27471864967,1027,53413,1,1,FL
Escambia County, Florida,8149,135567,6005335266,852,44298,1,1,FL
Flagler County, Florida,2544,23770,843598554,682,35489,1,1,FL
Franklin County, Florida,371,3375,106650655,608,31605,1,1,FL
Gadsden County, Florida,854,13584,496705519,703,36565,1,1,FL
Gilchrist County, Florida,335,3381,112234571,638,33192,1,1,FL
Glades County, Florida,175,1845,77509231,808,42018,1,1,FL
Gulf County, Florida,411,3663,134972360,709,36847,1,1,FL
Hamilton County, Florida,218,3039,138100670,874,45440,1,1,FL
Hardee County, Florida,565,7078,246951208,671,34890,1,1,FL
Hendry County, Florida,880,11861,484217404,785,40824,1,1,FL
Hernando County, Florida,3734,43909,1642627262,719,37410,1,1,FL
Highlands County, Florida,2339,27835,962347892,665,34573,1,1,FL
Hillsborough County, Florida,43248,685878,37415240549,1049,54551,1,1,FL
Holmes County, Florida,350,3370,106350414,607,31561,1,1,FL
Indian River County, Florida,5117,52588,2254924200,825,42879,1,1,FL
Jackson County, Florida,945,14367,511669324,685,35614,1,1,FL
Jefferson County, Florida,315,2525,85296435,650,33779,1,1,FL
Lafayette County, Florida,128,1299,43357730,642,33378,1,1,FL
Lake County, Florida,8373,98622,3769458267,735,38221,1,1,FL
Lee County, Florida,22483,261767,11727230229,862,44800,1,1,FL
Leon County, Florida,8746,151227,6846087980,871,45270,1,1,FL
Levy County, Florida,956,9042,295081465,628,32635,1,1,FL
Liberty County, Florida,120,1837,72052350,754,39221,1,1,FL
Madison County, Florida,363,4299,141832328,634,32989,1,1,FL
Manatee County, Florida,11049,124072,5338195938,827,43025,1,1,FL
Marion County, Florida,8489,103499,3962090905,736,38281,1,1,FL
Martin County, Florida,6361,68059,2878854219,813,42299,1,1,FL
Miami-Dade County, Florida,99169,1144174,62684286748,1054,54786,1,1,FL
Monroe County, Florida,4523,40280,1722462056,822,42763,1,1,FL
Nassau County, Florida,2192,22973,950127738,795,41358,1,1,FL
Okaloosa County, Florida,6558,84298,3847532113,878,45642,1,1,FL
Okeechobee County, Florida,998,11397,422342920,713,37059,1,1,FL
Orange County, Florida,43138,848901,42380304838,960,49924,1,1,FL
Osceola County, Florida,7194,95052,3585529007,725,37722,1,1,FL
Palm Beach County, Florida,56987,606201,33191155289,1053,54753,1,1,FL
Pasco County, Florida,11147,119355,4678536716,754,39199,1,1,FL
Pinellas County, Florida,33491,434568,21404810948,947,49255,1,1,FL
Polk County, Florida,13500,220824,9357837162,815,42377,1,1,FL
Putnam County, Florida,1422,16295,621331487,733,38130,1,1,FL
St. Johns County, Florida,7472,76629,3484738085,875,45475,1,1,FL
St. Lucie County, Florida,6562,77214,3175243579,791,41123,1,1,FL
Santa Rosa County, Florida,3498,38487,1460027165,730,37936,1,1,FL
Sarasota County, Florida,16135,171063,8097746094,910,47338,1,1,FL
Seminole County, Florida,15132,194828,9483374486,936,48676,1,1,FL
Sumter County, Florida,1901,29772,1220440620,788,40992,1,1,FL
Suwannee County, Florida,815,11424,398469230,671,34881,1,1,FL
Taylor County, Florida,439,6590,264351192,771,40116,1,1,FL
Union County, Florida,205,3373,128802794,734,38186,1,1,FL
Volusia County, Florida,14495,173308,6946588296,771,40082,1,1,FL
Wakulla County, Florida,539,5748,205794512,688,35801,1,1,FL
Walton County, Florida,2717,26128,1006720931,741,38530,1,1,FL
Washington County, Florida,458,5939,210697729,682,35477,1,1,FL
Unknown Or Undefined, Florida,44984,289286,23014756753,1530,79557,1,1,FL
Appling County, Georgia,404,6849,313968691,882,45840,1,1,GA
Atkinson County, Georgia,116,2222,76708057,664,34519,1,1,GA
Bacon County, Georgia,250,3842,138672261,694,36091,1,1,GA
Baker County, Georgia,58,427,15579927,702,36487,1,1,GA
Baldwin County, Georgia,803,15176,510898779,647,33665,1,1,GA
Banks County, Georgia,277,4512,149329603,637,33099,1,1,GA
Barrow County, Georgia,1177,19378,779134016,773,40206,1,1,GA
Bartow County, Georgia,2195,38740,1718023897,853,44347,1,1,GA
Ben Hill County, Georgia,332,5546,181659352,630,32756,1,1,GA
Berrien County, Georgia,261,3664,124927365,656,34094,1,1,GA
Bibb County, Georgia,4258,82430,3598873456,840,43660,1,1,GA
Bleckley County, Georgia,184,2686,83959654,601,31257,1,1,GA
Brantley County, Georgia,210,2399,80977460,649,33751,1,1,GA
Brooks County, Georgia,278,3162,111124189,676,35148,1,1,GA
Bryan County, Georgia,688,8839,323297521,703,36577,1,1,GA
Bulloch County, Georgia,1492,25979,914026874,677,35184,1,1,GA
Burke County, Georgia,386,12575,1005985044,1538,80001,1,1,GA
Butts County, Georgia,408,6955,254268452,703,36562,1,1,GA
Calhoun County, Georgia,109,1066,33720687,608,31628,1,1,GA
