Cities,State,Temp High °F,Temp Low °F,Year,Temp High °C,Temp Low °C,Days to 0 °F,Days 32 °F or below,Days rose to 70 °F,Days  rose to 90 °F,Precipitation Days,Percipitation Inches,Percipitation Milli­metres,Snow Days,Snow Inches,Snow Centi­metres,weather measurements made at,Lat,Lng
Chicago,IL,60,45,2010,16,7,1,110,159,24,124,44.8,1137,15,43.2,110,Chicago's Midway Airport,41.87811,-87.62980
Cincinnati,OH,65,47,2018,18,8,4,108,168,37,151,55.9,1420,6,22.5,57,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,66,47,2017,19,8,0,81,177,11,142,50.5,1282,5,11.7,30,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,66,47,2016,19,8,0,95,176,29,133,44.5,1129,9,21.5,55,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,65,45,2015,18,7,5,87,173,16,137,48.9,1243,5,24.7,63,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,62,43,2014,17,6,7,112,169,8,130,42.3,1075,10,40,102,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,63,45,2013,17,7,0,119,166,11,137,49.5,1258,12,30.6,78,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,67,47,2012,20,8,0,92,178,44,128,38.8,986,3,12.9,33,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,65,46,2011,18,8,2,93,161,36,148,73.3,1861,4,18.7,47,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cincinnati,OH,64,45,2010,18,7,1,111,185,35,118,36.7,932,13,49.6,126,Cincinnati/Northern Kentucky International Airport,39.10312,-84.51202
Cleveland,OH,61,45,2018,16,7,3,118,154,22,177,51.5,1308,17,42.5,108,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,63,46,2017,17,8,0,88,165,19,165,43.9,1114,18,44.9,114,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,63,45,2016,17,7,0,106,158,29,155,36.5,928,15,42.2,107,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,60,42,2015,16,6,13,105,149,5,158,40.1,1019,11,47,119,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,57,41,2014,14,5,10,120,137,4,178,44.1,1120,26,84.3,214,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,59,43,2013,15,6,0,128,151,8,159,41.9,1063,17,58.6,149,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,63,45,2012,17,7,0,96,147,28,153,44.7,1134,18,46.3,118,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,60,44,2011,16,7,2,102,136,15,170,65.3,1660,18,64.8,165,Cleveland Hopkins International Airport,41.49932,-81.69436
Cleveland,OH,61,44,2010,16,7,0,116,152,20,151,35.5,901,23,64.3,163,Cleveland Hopkins International Airport,41.49932,-81.69436
Columbus,OH,63,46,2018,17,8,4,115,163,25,162,55.2,1403,5,25.3,64,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,65,46,2017,18,8,0,89,176,14,142,46.7,1185,4,12,30,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,64,46,2016,18,8,0,98,169,20,135,37.8,961,12,22.5,57,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,63,44,2015,17,7,7,98,162,9,142,45,1144,10,29.3,74,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,62,43,2014,16,6,8,115,158,13,140,38.1,968,12,43.2,110,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,62,45,2013,17,7,0,121,167,17,141,41.6,1056,13,43.1,109,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,66,47,2012,19,8,0,91,174,48,130,37.3,948,10,27.4,70,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,63,46,2011,17,8,1,95,153,32,160,55,1397,6,22,56,John Glenn Columbus International Airport,39.96118,-82.99880
Columbus,OH,63,44,2010,17,7,0,111,178,26,130,36.3,922,11,49.2,125,John Glenn Columbus International Airport,39.96118,-82.99880
Dallas,TX,78,59,2018,26,15,0,26,244,125,97,55.3,1405,0,0,0,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,80,60,2017,27,16,0,8,287,111,83,33.2,844,0,0.2,1,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,79,60,2016,26,16,0,16,277,114,88,38.5,978,0,0,0,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,78,59,2015,25,15,0,25,262,120,97,68,1728,2,6.1,15,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,77,57,2014,25,14,0,36,243,100,71,22.5,572,0,0.8,2,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,78,58,2013,26,14,0,29,257,119,73,33.7,855,1,2.3,6,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,80,60,2012,27,15,0,17,278,121,64,31.5,801,1,2,5,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,80,59,2011,27,15,0,27,258,131,59,28.3,720,2,6.5,17,Dallas Love Field Airport,32.77667,-96.79699
Dallas,TX,77,58,2010,25,14,0,36,245,112,72,34.4,872,3,11,28,Dallas Love Field Airport,32.77667,-96.79699
Denver,CO,66,37,2018,19,3,3,167,166,53,71,11.7,296,71,26.8,68,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,68,38,2017,20,3,2,149,179,59,87,13.2,334,87,19.9,51,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,68,38,2016,20,3,5,139,180,61,30,11.2,285,87,58.3,148,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,65,38,2015,18,4,4,129,165,34,49,24.1,613,124,74.6,189,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,64,36,2014,18,2,12,150,170,28,38,16.8,426,106,42.2,107,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,64,36,2013,18,2,9,176,141,51,33,25.2,639,84,49.6,126,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,68,39,2012,20,4,1,143,184,67,24,9.6,243,58,35.6,90,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,64,36,2011,18,2,12,158,145,45,37,18.9,480,77,44.4,113,Denver's Stapleton neighborhood,39.73924,-104.99025
Denver,CO,65,37,2010,18,3,4,166,157,43,24,11.8,299,65,28.8,73,Denver's Stapleton neighborhood,39.73924,-104.99025
Detroit,MI,60,43,2018,15,6,4,136,149,26,143,43.9,1114,14,45.8,116,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,61,44,2017,16,6,2,97,154,7,144,35.5,902,12,43.7,111,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,62,44,2016,17,7,1,113,153,23,132,34.8,883,14,44.9,114,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,60,42,2015,16,5,12,110,149,10,133,30.4,771,14,50.8,129,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,57,39,2014,14,4,13,133,138,4,144,37.7,956,22,82.4,209,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,58,41,2013,15,5,1,137,146,7,144,39.9,1014,18,53.8,137,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,63,45,2012,17,7,0,107,159,30,126,27.1,689,12,30.8,78,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,60,43,2011,15,6,2,112,136,23,164,47.8,1213,17,66.3,168,Detroit Metro Airport,42.33143,-83.04575
Detroit,MI,60,43,2010,16,6,0,116,148,17,115,32.3,821,12,45.4,115,Detroit Metro Airport,42.33143,-83.04575
Hartford,CT,61,42,2018,16,5,4,134,146,32,150,62.8,1595,11,54.5,138,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,62,42,2017,17,5,3,117,157,16,139,45.6,1158,10,60.4,153,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,64,42,2016,18,5,3,124,155,31,120,32.8,832,11,37.8,96,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,62,40,2015,17,5,10,120,165,18,118,39.2,996,16,59,150,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,60,40,2014,16,4,3,125,147,15,143,45.9,1165,10,44.2,112,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,61,41,2013,16,5,3,136,149,20,130,51.8,1314,12,53.9,137,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,64,44,2012,18,7,0,114,155,25,131,38.5,977,9,30.2,77,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,62,42,2011,16,5,5,127,140,15,131,69.3,1759,16,84.5,215,Bradley International Airport near Hartford,41.76580,-72.67337
Hartford,CT,63,43,2010,17,6,0,111,165,34,105,44.4,1127,6,32,81,Bradley International Airport near Hartford,41.76580,-72.67337
Houston,TX,80,63,2018,26,17,0,10,283,117,114,52.5,1334,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,82,65,2017,28,18,0,5,311,104,107,79.2,2011,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,82,64,2016,28,18,0,1,311,108,125,56.9,1444,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,80,63,2015,27,17,0,1,291,104,125,77.1,1959,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,78,61,2014,26,16,0,10,276,90,118,41.2,1046,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,79,61,2013,26,16,0,2,285,108,95,43.1,1094,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,81,64,2012,27,18,0,1,310,91,95,51.9,1317,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,82,63,2011,28,17,0,13,295,132,59,25.4,645,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Houston,TX,79,61,2010,26,16,0,10,268,104,105,47,1194,0,0,0,William P. Hobby Airport near downtown Houston,29.76043,-95.36980
Indianapolis,IN,63,45,2018,17,7,7,122,165,38,128,44.1,1119,4,20.3,52,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,65,46,2017,18,8,3,85,177,14,124,47.5,1205,4,8.7,22,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,65,47,2016,18,8,1,98,172,28,128,46,1168,6,16.3,41,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,63,44,2015,17,7,6,97,169,13,126,48.2,1224,9,24.7,63,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,59,41,2014,15,5,12,124,154,3,137,41.6,1057,11,49.8,126,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,61,43,2013,16,6,0,133,158,14,124,45.9,1167,11,28.5,72,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,67,47,2012,19,8,0,93,173,51,111,38,966,6,22.4,57,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,64,46,2011,18,8,2,90,155,42,136,49.7,1261,8,23.3,59,Indianapolis International Airport,39.76840,-86.15807
Indianapolis,IN,64,45,2010,18,7,0,109,186,37,118,33.9,861,10,42,107,Indianapolis International Airport,39.76840,-86.15807
Jacksonville,FL,81,64,2018,27,18,,6,296,107,141,45.2,1148,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,,,2017,,,,,,,,,,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,,,2016,,,,1,312,125,99,36.1,917,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,84,68,2015,29,20,0,1,314,129,124,33.7,855,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,81,64,2014,27,18,0,2,294,116,121,41.9,1064,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,79,63,2013,26,17,0,2,294,60,133,51.1,1297,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,82,65,2012,28,18,0,3,311,98,124,65.1,1653,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,81,63,2011,27,17,0,4,299,118,96,33,838,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Jacksonville,FL,79,61,2010,26,16,0,20,270,101,103,33.9,862,0,0,0,Naval Air Station Jacksonville,30.33218,-81.65565
Kansas City,MO,65,44,2018,18,7,6,127,169,59,106,40.8,1036,4,13.8,35,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,67,46,2017,19,8,3,88,186,24,95,46,1169,3,4.8,12,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,68,47,2016,20,8,4,105,193,44,100,48.7,1236,2,5.8,15,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,66,46,2015,19,8,2,94,185,29,118,46.6,1184,5,13.6,35,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,63,42,2014,17,6,8,123,171,21,106,40.1,1019,8,23.6,60,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,63,43,2013,17,6,1,122,164,33,98,34.5,876,10,33.8,86,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,70,47,2012,21,9,0,86,192,69,85,22.3,567,3,7.6,19,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,65,44,2011,18,7,6,109,171,49,101,36.9,938,6,34.1,87,Kansas City International Airport,39.09973,-94.57857
Kansas City,MO,65,46,2010,18,8,7,105,180,50,102,41.9,1065,10,30.9,78,Kansas City International Airport,39.09973,-94.57857
Las Vegas ,NV,83,62,2018,28,17,0,1,244,150,20,3.4,86,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,83,62,2017,28,17,0,0,269,131,21,2.4,61,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,82,61,2016,28,16,0,8,268,132,29,4.8,121,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,82,61,2015,28,16,0,10,265,142,36,4.5,115,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,83,61,2014,28,16,0,2,265,143,19,1.8,46,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,81,59,2013,27,15,0,19,242,132,24,3,76,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,82,61,2012,28,16,0,3,252,147,17,5.3,135,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,80,58,2011,26,14,0,11,231,130,24,2.4,60,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Las Vegas ,NV,80,59,2010,26,15,0,4,226,126,31,5.9,150,0,0,0,McCarran International Airport near downtown Las Vegas,36.16994,-115.13983
Los Angeles,CA,76,58,2018,25,14,0,0,282,25,26,8.9,225,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,78,59,2017,25,15,0,0,293,31,35,13.3,337,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,76,58,2016,25,14,0,0,285,25,35,11.8,300,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,78,59,2015,26,15,0,0,296,38,26,7.7,195,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,78,59,2014,25,15,0,0,295,32,24,9.8,248,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,75,56,2013,24,13,0,0,276,18,27,3.6,92,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,75,56,2012,24,13,0,0,254,30,38,8.2,208,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,73,55,2011,23,13,0,0,238,12,32,12.3,312,0,0,0,downtown Los Angeles,34.05224,-118.24368
Los Angeles,CA,74,57,2010,24,14,0,0,251,25,53,23.1,587,0,0,0,downtown Los Angeles,34.05224,-118.24368
Louisville,KY,68,51,2018,20,10,0,69,178,53,144,68.9,1749,7,19.4,49,Louisville International Airport,38.25267,-85.75845
Louisville,KY,70,51,2017,21,11,0,55,209,41,111,44.6,1132,1,2.8,7,Louisville International Airport,38.25267,-85.75845
Louisville,KY,70,51,2016,21,11,0,69,206,54,121,43.6,1106,6,15,38,Louisville International Airport,38.25267,-85.75845
Louisville,KY,69,50,2015,20,10,2,72,196,38,126,62.4,1585,5,23.9,61,Louisville International Airport,38.25267,-85.75845
Louisville,KY,66,47,2014,19,8,2,88,183,35,127,43.3,1100,7,24,61,Louisville International Airport,38.25267,-85.75845
Louisville,KY,67,48,2013,19,9,0,92,185,33,131,53.6,1362,5,13,33,Louisville International Airport,38.25267,-85.75845
Louisville,KY,71,51,2012,22,10,0,69,202,60,122,45.7,1161,3,9.7,25,Louisville International Airport,38.25267,-85.75845
Louisville,KY,69,50,2011,20,10,0,64,187,56,133,68.1,1729,4,11.4,29,Louisville International Airport,38.25267,-85.75845
Louisville,KY,69,50,2010,20,10,0,85,206,85,104,38.5,979,8,27.4,70,Louisville International Airport,38.25267,-85.75845
Memphis,TN,72,54,2018,22,12,0,48,204,89,137,64.2,1630,1,3.1,8,Memphis International Airport,35.14953,-90.04898
Memphis,TN,74,55,2017,23,13,0,35,241,50,122,51.4,1306,1,2,5,Memphis International Airport,35.14953,-90.04898
