LAUS Code,State FIPS Code,County FIPS Code,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%),County Name/State Abbreviation,State
CN1704500000000,17,45,2018,"9,200","8,770",430,4.7,Edgar County, IL
CN1704700000000,17,47,2018,"2,779","2,653",126,4.5,Edwards County, IL
CN1704900000000,17,49,2018,"19,119","18,403",716,3.7,Effingham County, IL
CN1705100000000,17,51,2018,"9,810","9,291",519,5.3,Fayette County, IL
CN1705300000000,17,53,2018,"6,334","6,029",305,4.8,Ford County, IL
CN1705500000000,17,55,2018,"17,065","16,016","1,049",6.1,Franklin County, IL
CN1705700000000,17,57,2018,"15,224","14,273",951,6.2,Fulton County, IL
CN1705900000000,17,59,2018,"2,434","2,294",140,5.8,Gallatin County, IL
CN1706100000000,17,61,2018,"6,015","5,720",295,4.9,Greene County, IL
CN1706300000000,17,63,2018,"25,255","24,072","1,183",4.7,Grundy County, IL
CN1706500000000,17,65,2018,"4,493","4,297",196,4.4,Hamilton County, IL
CN1706700000000,17,67,2018,"8,469","8,069",400,4.7,Hancock County, IL
CN1706900000000,17,69,2018,"1,343","1,238",105,7.8,Hardin County, IL
CN1707100000000,17,71,2018,"3,664","3,481",183,5,Henderson County, IL
CN1707300000000,17,73,2018,"25,083","23,824","1,259",5,Henry County, IL
CN1707500000000,17,75,2018,"14,394","13,749",645,4.5,Iroquois County, IL
CN1707700000000,17,77,2018,"28,137","26,847","1,290",4.6,Jackson County, IL
CN1707900000000,17,79,2018,"4,617","4,389",228,4.9,Jasper County, IL
CN1708100000000,17,81,2018,"17,661","16,723",938,5.3,Jefferson County, IL
CN1708300000000,17,83,2018,"11,007","10,473",534,4.9,Jersey County, IL
CN1708500000000,17,85,2018,"10,983","10,501",482,4.4,Jo Daviess County, IL
CN1708700000000,17,87,2018,"4,100","3,780",320,7.8,Johnson County, IL
CN1708900000000,17,89,2018,"273,901","260,449","13,452",4.9,Kane County, IL
CN1709100000000,17,91,2018,"55,920","52,888","3,032",5.4,Kankakee County, IL
CN1709300000000,17,93,2018,"67,661","65,281","2,380",3.5,Kendall County, IL
CN1709500000000,17,95,2018,"22,203","21,020","1,183",5.3,Knox County, IL
CN1709700000000,17,97,2018,"378,401","361,302","17,099",4.5,Lake County, IL
CN1709900000000,17,99,2018,"56,230","52,968","3,262",5.8,LaSalle County, IL
CN1710100000000,17,101,2018,"5,981","5,629",352,5.9,Lawrence County, IL
CN1710300000000,17,103,2018,"17,831","17,043",788,4.4,Lee County, IL
CN1710500000000,17,105,2018,"16,610","15,876",734,4.4,Livingston County, IL
CN1710700000000,17,107,2018,"12,852","12,246",606,4.7,Logan County, IL
CN1710900000000,17,109,2018,"13,359","12,675",684,5.1,McDonough County, IL
CN1711100000000,17,111,2018,"165,849","160,050","5,799",3.5,McHenry County, IL
CN1711300000000,17,113,2018,"87,889","84,209","3,680",4.2,McLean County, IL
CN1711500000000,17,115,2018,"49,961","47,166","2,795",5.6,Macon County, IL
CN1711700000000,17,117,2018,"23,066","21,934","1,132",4.9,Macoupin County, IL
CN1711900000000,17,119,2018,"134,575","128,495","6,080",4.5,Madison County, IL
CN1712100000000,17,121,2018,"17,778","16,899",879,4.9,Marion County, IL
CN1712300000000,17,123,2018,"5,510","5,224",286,5.2,Marshall County, IL
CN1712500000000,17,125,2018,"6,318","5,939",379,6,Mason County, IL
CN1712700000000,17,127,2018,"5,748","5,345",403,7,Massac County, IL
CN1712900000000,17,129,2018,"6,689","6,421",268,4,Menard County, IL
CN1713100000000,17,131,2018,"8,103","7,675",428,5.3,Mercer County, IL
CN1713300000000,17,133,2018,"18,595","17,951",644,3.5,Monroe County, IL
CN1713500000000,17,135,2018,"11,891","11,185",706,5.9,Montgomery County, IL
CN1713700000000,17,137,2018,"16,309","15,590",719,4.4,Morgan County, IL
CN1713900000000,17,139,2018,"7,524","7,235",289,3.8,Moultrie County, IL
CN1714100000000,17,141,2018,"25,289","24,014","1,275",5,Ogle County, IL
CN1714300000000,17,143,2018,"87,398","82,552","4,846",5.5,Peoria County, IL
CN1714500000000,17,145,2018,"8,456","7,951",505,6,Perry County, IL
CN1714700000000,17,147,2018,"8,430","8,067",363,4.3,Piatt County, IL
CN1714900000000,17,149,2018,"7,256","6,907",349,4.8,Pike County, IL
CN1715100000000,17,151,2018,"1,751","1,644",107,6.1,Pope County, IL
CN1715300000000,17,153,2018,"2,055","1,886",169,8.2,Pulaski County, IL
CN1715500000000,17,155,2018,"3,040","2,881",159,5.2,Putnam County, IL
CN1715700000000,17,157,2018,"14,202","13,572",630,4.4,Randolph County, IL
CN1715900000000,17,159,2018,"7,455","7,105",350,4.7,Richland County, IL
CN1716100000000,17,161,2018,"71,847","68,090","3,757",5.2,Rock Island County, IL
CN1716300000000,17,163,2018,"127,192","120,769","6,423",5,St. Clair County, IL
CN1716500000000,17,165,2018,"9,879","9,236",643,6.5,Saline County, IL
CN1716700000000,17,167,2018,"104,949","100,443","4,506",4.3,Sangamon County, IL
CN1716900000000,17,169,2018,"3,334","3,185",149,4.5,Schuyler County, IL
CN1717100000000,17,171,2018,"2,481","2,348",133,5.4,Scott County, IL
CN1717300000000,17,173,2018,"10,725","10,262",463,4.3,Shelby County, IL
CN1717500000000,17,175,2018,"2,587","2,424",163,6.3,Stark County, IL
CN1717700000000,17,177,2018,"21,904","20,863","1,041",4.8,Stephenson County, IL
CN1717900000000,17,179,2018,"65,386","62,196","3,190",4.9,Tazewell County, IL
CN1718100000000,17,181,2018,"7,423","6,943",480,6.5,Union County, IL
CN1718300000000,17,183,2018,"33,578","31,504","2,074",6.2,Vermilion County, IL
CN1718500000000,17,185,2018,"5,728","5,473",255,4.5,Wabash County, IL
CN1718700000000,17,187,2018,"8,691","8,324",367,4.2,Warren County, IL
CN1718900000000,17,189,2018,"9,625","9,335",290,3,Washington County, IL
CN1719100000000,17,191,2018,"6,949","6,563",386,5.6,Wayne County, IL
CN1719300000000,17,193,2018,"6,685","6,397",288,4.3,White County, IL
CN1719500000000,17,195,2018,"28,466","27,164","1,302",4.6,Whiteside County, IL
CN1719700000000,17,197,2018,"357,226","342,785","14,441",4,Will County, IL
CN1719900000000,17,199,2018,"31,873","30,236","1,637",5.1,Williamson County, IL
CN1720100000000,17,201,2018,"141,196","133,101","8,095",5.7,Winnebago County, IL
CN1720300000000,17,203,2018,"19,161","18,379",782,4.1,Woodford County, IL
CN1800100000000,18,1,2018,"17,494","17,038",456,2.6,Adams County, IN
CN1800300000000,18,3,2018,"184,863","179,032","5,831",3.2,Allen County, IN
CN1800500000000,18,5,2018,"45,295","44,110","1,185",2.6,Bartholomew County, IN
CN1800700000000,18,7,2018,"4,574","4,427",147,3.2,Benton County, IN
CN1800900000000,18,9,2018,"5,341","5,135",206,3.9,Blackford County, IN
CN1801100000000,18,11,2018,"35,904","34,933",971,2.7,Boone County, IN
CN1801300000000,18,13,2018,"7,659","7,416",243,3.2,Brown County, IN
CN1801500000000,18,15,2018,"10,264","9,928",336,3.3,Carroll County, IN
CN1801700000000,18,17,2018,"18,296","17,620",676,3.7,Cass County, IN
CN1801900000000,18,19,2018,"61,620","59,509","2,111",3.4,Clark County, IN
CN1802100000000,18,21,2018,"12,332","11,850",482,3.9,Clay County, IN
CN1802300000000,18,23,2018,"17,200","16,715",485,2.8,Clinton County, IN
CN1802500000000,18,25,2018,"4,958","4,736",222,4.5,Crawford County, IN
CN1802700000000,18,27,2018,"16,531","16,084",447,2.7,Daviess County, IN
CN1802900000000,18,29,2018,"26,132","25,182",950,3.6,Dearborn County, IN
CN1803100000000,18,31,2018,"14,967","14,519",448,3,Decatur County, IN
CN1803300000000,18,33,2018,"22,501","21,865",636,2.8,DeKalb County, IN
CN1803500000000,18,35,2018,"54,159","51,986","2,173",4,Delaware County, IN
CN1803700000000,18,37,2018,"23,357","22,777",580,2.5,Dubois County, IN
CN1803900000000,18,39,2018,"116,267","113,255","3,012",2.6,Elkhart County, IN
CN1804100000000,18,41,2018,"9,203","8,776",427,4.6,Fayette County, IN
CN1804300000000,18,43,2018,"41,401","40,026","1,375",3.3,Floyd County, IN
CN1804500000000,18,45,2018,"8,131","7,837",294,3.6,Fountain County, IN
CN1804700000000,18,47,2018,"11,395","10,972",423,3.7,Franklin County, IN
CN1804900000000,18,49,2018,"9,958","9,620",338,3.4,Fulton County, IN
CN1805100000000,18,51,2018,"19,475","18,954",521,2.7,Gibson County, IN
CN1805300000000,18,53,2018,"32,239","30,996","1,243",3.9,Grant County, IN
CN1805500000000,18,55,2018,"13,754","13,145",609,4.4,Greene County, IN
CN1805700000000,18,57,2018,"181,103","176,224","4,879",2.7,Hamilton County, IN
CN1805900000000,18,59,2018,"39,772","38,566","1,206",3,Hancock County, IN
CN1806100000000,18,61,2018,"20,172","19,474",698,3.5,Harrison County, IN
CN1806300000000,18,63,2018,"88,595","86,041","2,554",2.9,Hendricks County, IN
CN1806500000000,18,65,2018,"22,475","21,683",792,3.5,Henry County, IN
CN1806700000000,18,67,2018,"37,645","36,116","1,529",4.1,Howard County, IN
CN1806900000000,18,69,2018,"18,376","17,722",654,3.6,Huntington County, IN
CN1807100000000,18,71,2018,"22,870","22,219",651,2.8,Jackson County, IN
CN1807300000000,18,73,2018,"16,509","15,860",649,3.9,Jasper County, IN
CN1807500000000,18,75,2018,"9,843","9,516",327,3.3,Jay County, IN
CN1807700000000,18,77,2018,"15,100","14,582",518,3.4,Jefferson County, IN
CN1807900000000,18,79,2018,"13,642","13,145",497,3.6,Jennings County, IN
CN1808100000000,18,81,2018,"82,164","79,802","2,362",2.9,Johnson County, IN
CN1808300000000,18,83,2018,"18,898","18,283",615,3.3,Knox County, IN
CN1808500000000,18,85,2018,"42,697","41,567","1,130",2.6,Kosciusko County, IN
CN1808700000000,18,87,2018,"20,613","20,098",515,2.5,LaGrange County, IN
CN1808900000000,18,89,2018,"232,368","220,886","11,482",4.9,Lake County, IN
CN1809100000000,18,91,2018,"48,027","45,925","2,102",4.4,LaPorte County, IN
CN1809300000000,18,93,2018,"21,152","20,339",813,3.8,Lawrence County, IN
CN1809500000000,18,95,2018,"59,431","57,126","2,305",3.9,Madison County, IN
CN1809700000000,18,97,2018,"490,706","473,574","17,132",3.5,Marion County, IN
CN1809900000000,18,99,2018,"23,481","22,735",746,3.2,Marshall County, IN
CN1810100000000,18,101,2018,"5,214","5,071",143,2.7,Martin County, IN
CN1810300000000,18,103,2018,"15,892","15,254",638,4,Miami County, IN
CN1810500000000,18,105,2018,"69,690","67,180","2,510",3.6,Monroe County, IN
CN1810700000000,18,107,2018,"19,157","18,575",582,3,Montgomery County, IN
CN1810900000000,18,109,2018,"36,392","35,160","1,232",3.4,Morgan County, IN
CN1811100000000,18,111,2018,"7,117","6,808",309,4.3,Newton County, IN
CN1811300000000,18,113,2018,"23,666","22,972",694,2.9,Noble County, IN
CN1811500000000,18,115,2018,"3,201","3,089",112,3.5,Ohio County, IN
CN1811700000000,18,117,2018,"8,597","8,264",333,3.9,Orange County, IN
CN1811900000000,18,119,2018,"9,350","8,943",407,4.4,Owen County, IN
CN1812100000000,18,121,2018,"7,169","6,883",286,4,Parke County, IN
CN1812300000000,18,123,2018,"9,323","8,979",344,3.7,Perry County, IN
CN1812500000000,18,125,2018,"6,140","5,926",214,3.5,Pike County, IN
CN1812700000000,18,127,2018,"86,770","83,434","3,336",3.8,Porter County, IN
CN1812900000000,18,129,2018,"13,731","13,343",388,2.8,Posey County, IN
CN1813100000000,18,131,2018,"6,528","6,324",204,3.1,Pulaski County, IN
CN1813300000000,18,133,2018,"16,882","16,245",637,3.8,Putnam County, IN
CN1813500000000,18,135,2018,"11,614","11,160",454,3.9,Randolph County, IN
CN1813700000000,18,137,2018,"14,080","13,573",507,3.6,Ripley County, IN
CN1813900000000,18,139,2018,"9,038","8,778",260,2.9,Rush County, IN
CN1814100000000,18,141,2018,"136,728","131,857","4,871",3.6,St. Joseph County, IN
CN1814300000000,18,143,2018,"10,612","10,197",415,3.9,Scott County, IN
CN1814500000000,18,145,2018,"23,195","22,476",719,3.1,Shelby County, IN
CN1814700000000,18,147,2018,"10,983","10,623",360,3.3,Spencer County, IN
CN1814900000000,18,149,2018,"10,484","10,030",454,4.3,Starke County, IN
CN1815100000000,18,151,2018,"20,351","19,809",542,2.7,Steuben County, IN
CN1815300000000,18,153,2018,"8,616","8,214",402,4.7,Sullivan County, IN
CN1815500000000,18,155,2018,"5,096","4,898",198,3.9,Switzerland County, IN
CN1815700000000,18,157,2018,"97,693","94,612","3,081",3.2,Tippecanoe County, IN
CN1815900000000,18,159,2018,"9,238","8,979",259,2.8,Tipton County, IN
CN1816100000000,18,161,2018,"3,671","3,556",115,3.1,Union County, IN
CN1816300000000,18,163,2018,"95,249","92,211","3,038",3.2,Vanderburgh County, IN
CN1816500000000,18,165,2018,"7,169","6,774",395,5.5,Vermillion County, IN
CN1816700000000,18,167,2018,"49,142","46,989","2,153",4.4,Vigo County, IN
CN1816900000000,18,169,2018,"14,901","14,381",520,3.5,Wabash County, IN
CN1817100000000,18,171,2018,"4,219","4,083",136,3.2,Warren County, IN
CN1817300000000,18,173,2018,"33,148","32,176",972,2.9,Warrick County, IN
CN1817500000000,18,175,2018,"13,767","13,282",485,3.5,Washington County, IN
CN1817700000000,18,177,2018,"31,319","30,193","1,126",3.6,Wayne County, IN
CN1817900000000,18,179,2018,"14,396","13,991",405,2.8,Wells County, IN
CN1818100000000,18,181,2018,"13,639","13,220",419,3.1,White County, IN
CN1818300000000,18,183,2018,"17,645","17,141",504,2.9,Whitley County, IN
CN2000100000000,20,1,2018,"6,313","6,059",254,4,Allen County, KS
CN2000300000000,20,3,2018,"4,133","3,989",144,3.5,Anderson County, KS
CN2000500000000,20,5,2018,"6,985","6,662",323,4.6,Atchison County, KS
CN2000700000000,20,7,2018,"2,396","2,334",62,2.6,Barber County, KS
CN2000900000000,20,9,2018,"13,413","12,970",443,3.3,Barton County, KS
CN2001100000000,20,11,2018,"7,120","6,822",298,4.2,Bourbon County, KS
CN2001300000000,20,13,2018,"5,353","5,190",163,3,Brown County, KS
CN2001500000000,20,15,2018,"31,938","30,833","1,105",3.5,Butler County, KS
CN2001700000000,20,17,2018,"1,484","1,445",39,2.6,Chase County, KS
CN2001900000000,20,19,2018,"1,417","1,360",57,4,Chautauqua County, KS
CN2002100000000,20,21,2018,"10,046","9,669",377,3.8,Cherokee County, KS
CN2002300000000,20,23,2018,"1,313","1,282",31,2.4,Cheyenne County, KS
CN2002500000000,20,25,2018,"1,065","1,039",26,2.4,Clark County, KS
CN2002700000000,20,27,2018,"3,791","3,669",122,3.2,Clay County, KS
CN2002900000000,20,29,2018,"3,784","3,651",133,3.5,Cloud County, KS
CN2003100000000,20,31,2018,"4,030","3,836",194,4.8,Coffey County, KS
CN2003300000000,20,33,2018,882,860,22,2.5,Comanche County, KS
CN2003500000000,20,35,2018,"16,735","16,161",574,3.4,Cowley County, KS
CN2003700000000,20,37,2018,"18,746","17,996",750,4,Crawford County, KS
CN2003900000000,20,39,2018,"1,251","1,213",38,3,Decatur County, KS
CN2004100000000,20,41,2018,"9,142","8,821",321,3.5,Dickinson County, KS
CN2004300000000,20,43,2018,"4,181","4,033",148,3.5,Doniphan County, KS
CN2004500000000,20,45,2018,"65,199","63,204","1,995",3.1,Douglas County, KS
CN2004700000000,20,47,2018,"1,512","1,475",37,2.4,Edwards County, KS
CN2004900000000,20,49,2018,"1,165","1,126",39,3.3,Elk County, KS
CN2005100000000,20,51,2018,"16,868","16,466",402,2.4,Ellis County, KS
CN2005300000000,20,53,2018,"2,722","2,646",76,2.8,Ellsworth County, KS
CN2005500000000,20,55,2018,"20,404","19,890",514,2.5,Finney County, KS
CN2005700000000,20,57,2018,"17,186","16,743",443,2.6,Ford County, KS
CN2005900000000,20,59,2018,"14,029","13,526",503,3.6,Franklin County, KS
CN2006100000000,20,61,2018,"11,492","10,941",551,4.8,Geary County, KS
CN2006300000000,20,63,2018,"1,436","1,405",31,2.2,Gove County, KS
CN2006500000000,20,65,2018,"1,121","1,085",36,3.2,Graham County, KS
CN2006700000000,20,67,2018,"3,340","3,245",95,2.8,Grant County, KS
CN2006900000000,20,69,2018,"3,437","3,369",68,2,Gray County, KS
CN2007100000000,20,71,2018,855,838,17,2,Greeley County, KS
CN2007300000000,20,73,2018,"3,205","3,089",116,3.6,Greenwood County, KS
CN2007500000000,20,75,2018,"1,637","1,605",32,2,Hamilton County, KS
CN2007700000000,20,77,2018,"2,748","2,669",79,2.9,Harper County, KS
CN2007900000000,20,79,2018,"16,864","16,319",545,3.2,Harvey County, KS
CN2008100000000,20,81,2018,"2,211","2,163",48,2.2,Haskell County, KS
CN2008300000000,20,83,2018,991,966,25,2.5,Hodgeman County, KS
CN2008500000000,20,85,2018,"7,217","7,001",216,3,Jackson County, KS
CN2008700000000,20,87,2018,"10,167","9,836",331,3.3,Jefferson County, KS
CN2008900000000,20,89,2018,"1,287","1,251",36,2.8,Jewell County, KS
CN2009100000000,20,91,2018,"336,677","326,954","9,723",2.9,Johnson County, KS
CN2009300000000,20,93,2018,"2,083","2,034",49,2.4,Kearny County, KS
CN2009500000000,20,95,2018,"3,409","3,299",110,3.2,Kingman County, KS
CN2009700000000,20,97,2018,"1,306","1,275",31,2.4,Kiowa County, KS
CN2009900000000,20,99,2018,"10,272","9,862",410,4,Labette County, KS
CN2010100000000,20,101,2018,796,774,22,2.8,Lane County, KS
CN2010300000000,20,103,2018,"36,546","35,216","1,330",3.6,Leavenworth County, KS
CN2010500000000,20,105,2018,"1,684","1,642",42,2.5,Lincoln County, KS
CN2010700000000,20,107,2018,"4,448","4,187",261,5.9,Linn County, KS
CN2010900000000,20,109,2018,"1,670","1,634",36,2.2,Logan County, KS
CN2011100000000,20,111,2018,"16,617","16,030",587,3.5,Lyon County, KS
CN2011300000000,20,113,2018,"16,312","15,893",419,2.6,McPherson County, KS
CN2011500000000,20,115,2018,"6,041","5,853",188,3.1,Marion County, KS
CN2011700000000,20,117,2018,"5,442","5,299",143,2.6,Marshall County, KS
CN2011900000000,20,119,2018,"2,291","2,243",48,2.1,Meade County, KS
CN2012100000000,20,121,2018,"17,469","16,840",629,3.6,Miami County, KS
CN2012300000000,20,123,2018,"3,426","3,348",78,2.3,Mitchell County, KS
CN2012500000000,20,125,2018,"14,834","14,194",640,4.3,Montgomery County, KS
CN2012700000000,20,127,2018,"2,985","2,902",83,2.8,Morris County, KS
CN2012900000000,20,129,2018,"1,169","1,131",38,3.3,Morton County, KS
CN2013100000000,20,131,2018,"5,499","5,373",126,2.3,Nemaha County, KS
CN2013300000000,20,133,2018,"6,010","5,716",294,4.9,Neosho County, KS
CN2013500000000,20,135,2018,"1,329","1,292",37,2.8,Ness County, KS
CN2013700000000,20,137,2018,"2,746","2,687",59,2.1,Norton County, KS
CN2013900000000,20,139,2018,"7,945","7,641",304,3.8,Osage County, KS
CN2014100000000,20,141,2018,"2,004","1,951",53,2.6,Osborne County, KS
CN2014300000000,20,143,2018,"3,005","2,918",87,2.9,Ottawa County, KS
CN2014500000000,20,145,2018,"2,940","2,847",93,3.2,Pawnee County, KS
CN2014700000000,20,147,2018,"2,800","2,729",71,2.5,Phillips County, KS
CN2014900000000,20,149,2018,"12,278","11,935",343,2.8,Pottawatomie County, KS
CN2015100000000,20,151,2018,"4,952","4,815",137,2.8,Pratt County, KS
CN2015300000000,20,153,2018,"1,467","1,436",31,2.1,Rawlins County, KS
CN2015500000000,20,155,2018,"29,916","28,841","1,075",3.6,Reno County, KS
CN2015700000000,20,157,2018,"2,401","2,335",66,2.7,Republic County, KS
CN2015900000000,20,159,2018,"5,287","5,132",155,2.9,Rice County, KS
CN2016100000000,20,161,2018,"35,429","34,407","1,022",2.9,Riley County, KS
CN2016300000000,20,163,2018,"2,522","2,441",81,3.2,Rooks County, KS
CN2016500000000,20,165,2018,"1,660","1,615",45,2.7,Rush County, KS
CN2016700000000,20,167,2018,"3,352","3,252",100,3,Russell County, KS
CN2016900000000,20,169,2018,"30,094","29,170",924,3.1,Saline County, KS
CN2017100000000,20,171,2018,"2,858","2,801",57,2,Scott County, KS
CN2017300000000,20,173,2018,"246,605","237,249","9,356",3.8,Sedgwick County, KS
CN2017500000000,20,175,2018,"9,554","9,239",315,3.3,Seward County, KS
CN2017700000000,20,177,2018,"91,125","87,941","3,184",3.5,Shawnee County, KS
CN2017900000000,20,179,2018,"1,398","1,366",32,2.3,Sheridan County, KS
CN2018100000000,20,181,2018,"2,894","2,812",82,2.8,Sherman County, KS
CN2018300000000,20,183,2018,"1,946","1,897",49,2.5,Smith County, KS
CN2018500000000,20,185,2018,"1,952","1,899",53,2.7,Stafford County, KS
CN2018700000000,20,187,2018,"1,010",984,26,2.6,Stanton County, KS
CN2018900000000,20,189,2018,"2,655","2,580",75,2.8,Stevens County, KS
CN2019100000000,20,191,2018,"10,784","10,403",381,3.5,Sumner County, KS
CN2019300000000,20,193,2018,"4,230","4,120",110,2.6,Thomas County, KS
CN2019500000000,20,195,2018,"1,381","1,337",44,3.2,Trego County, KS
CN2019700000000,20,197,2018,"3,648","3,533",115,3.2,Wabaunsee County, KS
CN2019900000000,20,199,2018,819,798,21,2.6,Wallace County, KS
CN2020100000000,20,201,2018,"2,927","2,847",80,2.7,Washington County, KS
CN2020300000000,20,203,2018,"1,265","1,237",28,2.2,Wichita County, KS
CN2020500000000,20,205,2018,"4,001","3,825",176,4.4,Wilson County, KS
CN2020700000000,20,207,2018,"1,594","1,525",69,4.3,Woodson County, KS
CN2020900000000,20,209,2018,"77,858","74,105","3,753",4.8,Wyandotte County, KS
CN2100100000000,21,1,2018,"7,246","6,879",367,5.1,Adair County, KY
CN2100300000000,21,3,2018,"8,969","8,633",336,3.7,Allen County, KY
CN2100500000000,21,5,2018,"11,951","11,520",431,3.6,Anderson County, KY
CN2100700000000,21,7,2018,"3,583","3,335",248,6.9,Ballard County, KY
CN2100900000000,21,9,2018,"19,141","18,293",848,4.4,Barren County, KY
CN2101100000000,21,11,2018,"4,648","4,335",313,6.7,Bath County, KY
CN2101300000000,21,13,2018,"8,513","7,973",540,6.3,Bell County, KY
CN2101500000000,21,15,2018,"70,741","68,362","2,379",3.4,Boone County, KY
CN2101700000000,21,17,2018,"9,704","9,317",387,4,Bourbon County, KY
CN2101900000000,21,19,2018,"18,099","17,028","1,071",5.9,Boyd County, KY
CN2102100000000,21,21,2018,"12,612","12,053",559,4.4,Boyle County, KY
CN2102300000000,21,23,2018,"3,851","3,664",187,4.9,Bracken County, KY
CN2102500000000,21,25,2018,"3,643","3,377",266,7.3,Breathitt County, KY
CN2102700000000,21,27,2018,"7,990","7,561",429,5.4,Breckinridge County, KY
CN2102900000000,21,29,2018,"42,322","40,596","1,726",4.1,Bullitt County, KY
CN2103100000000,21,31,2018,"5,206","4,953",253,4.9,Butler County, KY
CN2103300000000,21,33,2018,"5,419","5,163",256,4.7,Caldwell County, KY
CN2103500000000,21,35,2018,"18,864","18,127",737,3.9,Calloway County, KY
CN2103700000000,21,37,2018,"50,530","48,865","1,665",3.3,Campbell County, KY
CN2103900000000,21,39,2018,"2,311","2,198",113,4.9,Carlisle County, KY
CN2104100000000,21,41,2018,"5,270","5,053",217,4.1,Carroll County, KY
CN2104300000000,21,43,2018,"9,894","8,982",912,9.2,Carter County, KY
CN2104500000000,21,45,2018,"6,734","6,420",314,4.7,Casey County, KY
CN2104700000000,21,47,2018,"24,853","23,549","1,304",5.2,Christian County, KY
CN2104900000000,21,49,2018,"17,202","16,493",709,4.1,Clark County, KY
CN2105100000000,21,51,2018,"5,221","4,852",369,7.1,Clay County, KY
CN2105300000000,21,53,2018,"3,869","3,657",212,5.5,Clinton County, KY
CN2105500000000,21,55,2018,"3,908","3,706",202,5.2,Crittenden County, KY
CN2105700000000,21,57,2018,"3,134","2,994",140,4.5,Cumberland County, KY
CN2105900000000,21,59,2018,"48,018","46,121","1,897",4,Daviess County, KY
CN2106100000000,21,61,2018,"4,868","4,610",258,5.3,Edmonson County, KY
CN2106300000000,21,63,2018,"2,070","1,878",192,9.3,Elliott County, KY
CN2106500000000,21,65,2018,"5,325","5,033",292,5.5,Estill County, KY
CN2106700000000,21,67,2018,"174,849","169,048","5,801",3.3,Fayette County, KY
CN2106900000000,21,69,2018,"6,142","5,808",334,5.4,Fleming County, KY
CN2107100000000,21,71,2018,"10,907","10,187",720,6.6,Floyd County, KY
CN2107300000000,21,73,2018,"25,051","24,115",936,3.7,Franklin County, KY
CN2107500000000,21,75,2018,"2,048","1,930",118,5.8,Fulton County, KY
CN2107700000000,21,77,2018,"4,073","3,907",166,4.1,Gallatin County, KY
CN2107900000000,21,79,2018,"7,693","7,352",341,4.4,Garrard County, KY
CN2108100000000,21,81,2018,"11,729","11,223",506,4.3,Grant County, KY
CN2108300000000,21,83,2018,"15,447","14,670",777,5,Graves County, KY
CN2108500000000,21,85,2018,"10,995","10,455",540,4.9,Grayson County, KY
CN2108700000000,21,87,2018,"5,076","4,858",218,4.3,Green County, KY
CN2108900000000,21,89,2018,"13,459","12,564",895,6.6,Greenup County, KY
CN2109100000000,21,91,2018,"4,089","3,919",170,4.2,Hancock County, KY
CN2109300000000,21,93,2018,"49,149","47,158","1,991",4.1,Hardin County, KY
CN2109500000000,21,95,2018,"6,554","6,067",487,7.4,Harlan County, KY
CN2109700000000,21,97,2018,"8,699","8,339",360,4.1,Harrison County, KY
CN2109900000000,21,99,2018,"8,085","7,763",322,4,Hart County, KY
CN2110100000000,21,101,2018,"22,154","21,303",851,3.8,Henderson County, KY
CN2110300000000,21,103,2018,"8,183","7,865",318,3.9,Henry County, KY
CN2110500000000,21,105,2018,"1,812","1,708",104,5.7,Hickman County, KY
CN2110700000000,21,107,2018,"19,281","18,429",852,4.4,Hopkins County, KY
CN2110900000000,21,109,2018,"4,117","3,829",288,7,Jackson County, KY
CN2111100000000,21,111,2018,"400,587","384,318","16,269",4.1,Jefferson County, KY
CN2111300000000,21,113,2018,"26,425","25,465",960,3.6,Jessamine County, KY
CN2111500000000,21,115,2018,"6,763","6,298",465,6.9,Johnson County, KY
CN2111700000000,21,117,2018,"87,686","84,661","3,025",3.4,Kenton County, KY
CN2111900000000,21,119,2018,"4,425","4,121",304,6.9,Knott County, KY
CN2112100000000,21,121,2018,"10,114","9,482",632,6.2,Knox County, KY
CN2112300000000,21,123,2018,"6,075","5,808",267,4.4,Larue County, KY
CN2112500000000,21,125,2018,"24,947","23,679","1,268",5.1,Laurel County, KY
CN2112700000000,21,127,2018,"5,085","4,717",368,7.2,Lawrence County, KY
CN2112900000000,21,129,2018,"2,033","1,904",129,6.3,Lee County, KY
CN2113100000000,21,131,2018,"2,650","2,462",188,7.1,Leslie County, KY
CN2113300000000,21,133,2018,"6,316","5,904",412,6.5,Letcher County, KY
CN2113500000000,21,135,2018,"4,727","4,331",396,8.4,Lewis County, KY
CN2113700000000,21,137,2018,"9,366","8,895",471,5,Lincoln County, KY
CN2113900000000,21,139,2018,"3,702","3,451",251,6.8,Livingston County, KY
CN2114100000000,21,141,2018,"12,453","11,970",483,3.9,Logan County, KY
CN2114300000000,21,143,2018,"3,063","2,907",156,5.1,Lyon County, KY
CN2114500000000,21,145,2018,"29,386","27,744","1,642",5.6,McCracken County, KY
CN2114700000000,21,147,2018,"4,654","4,360",294,6.3,McCreary County, KY
CN2114900000000,21,149,2018,"4,285","4,074",211,4.9,McLean County, KY
CN2115100000000,21,151,2018,"46,892","45,083","1,809",3.9,Madison County, KY
CN2115300000000,21,153,2018,"2,855","2,477",378,13.2,Magoffin County, KY
CN2115500000000,21,155,2018,"9,627","9,263",364,3.8,Marion County, KY
CN2115700000000,21,157,2018,"15,078","14,280",798,5.3,Marshall County, KY
